day_idx,day_of_week,hour_of_day,event_count,avg_magnitude,total_energy_joules
4,Friday,1,98,4.484387755102041,8633868307271496.0
4,Friday,2,106,4.386320754716981,2.522387325609099e+16
4,Friday,3,120,4.527833333333334,1181314567240160.5
4,Friday,4,102,4.411176470588235,2011746359660744.0
4,Friday,5,95,4.4126315789473685,4967072239003840.0
4,Friday,6,91,4.566923076923077,991566579996132.2
4,Friday,7,99,4.4216161616161616,754392873973453.6
4,Friday,8,90,4.377,1558459336962068.5
4,Friday,9,106,4.669056603773585,5187563967112870.0
4,Friday,10,132,4.484469696969697,6652873131668241.0
4,Friday,11,97,4.65340206185567,4117294253498832.5
4,Friday,12,73,4.213150684931507,1306529431798380.2
4,Friday,13,91,4.332527472527472,1810134048593309.8
4,Friday,14,81,4.066296296296296,475159080592222.9
4,Friday,15,89,4.408539325842697,659684419725990.1
4,Friday,16,89,4.496853932584269,606826592062804.4
4,Friday,17,109,4.612018348623853,1803715704674600.5
4,Friday,18,120,4.443083333333333,6001762167173874.0
4,Friday,19,97,4.576082474226804,858138096039855.8
4,Friday,20,110,4.748818181818182,1812609571914728.2
4,Friday,21,91,4.464395604395604,1792405222061945.0
4,Friday,22,107,4.582191442774835,3924246564484389.5
4,Friday,23,106,4.271792452830189,945904494407972.1
5,Saturday,0,95,4.694,1240176903730879.2
5,Saturday,1,91,4.805054945054945,5150790054780002.0
5,Saturday,2,95,4.555052631578947,1261334067971084.8
5,Saturday,3,122,4.355081967213114,849704812095155.0
5,Saturday,4,84,4.490714285714286,510639051167795.44
5,Saturday,5,76,4.745657894736842,579399664256595.5
5,Saturday,6,90,4.571555555555555,7553166611362644.0
5,Saturday,7,90,4.481777777777778,2967106923301583.0
5,Saturday,8,78,4.441794871794872,3407275977539046.0
5,Saturday,9,81,4.695185185185185,2596333750697407.0
5,Saturday,10,77,4.693506493506494,2068633345649939.0
5,Saturday,11,86,4.510116279069767,1853504846680464.8
5,Saturday,12,89,4.5395505617977525,4898536460878740.0
5,Saturday,13,89,4.648314606741573,1257147711175082.2
5,Saturday,14,88,4.735340909090909,1.924871225023587e+16
5,Saturday,15,114,4.490087719298246,1263996445308175.5
5,Saturday,16,92,4.601521739130434,798699695029820.8
5,Saturday,17,93,4.749032258064516,2176914280375415.5
5,Saturday,18,120,4.737583333333333,693932571679619.2
5,Saturday,19,72,4.647916666666666,2396640728703813.5
5,Saturday,20,83,4.579518072289157,2062714988885567.8
5,Saturday,21,91,4.504615384615385,1381950086411266.8
5,Saturday,22,87,4.576436781609195,495954309224859.94
5,Saturday,23,93,4.734301075268817,1.7869884290877468e+16
6,Sunday,0,102,4.560980392156863,1361273097687670.2
6,Sunday,1,85,4.586588235294117,532299468831299.4
6,Sunday,2,112,4.876607142857142,878324463983167.2
6,Sunday,3,102,4.700980392156863,782073425320355.9
6,Sunday,4,102,4.520098039215687,577631310435742.6
6,Sunday,5,84,4.540119047619048,727015990931837.8
6,Sunday,6,101,4.59029702970297,6729133577295472.0
6,Sunday,7,94,4.410539731899107,650121844771180.8
6,Sunday,8,78,4.513589743589743,811633046575840.1
6,Sunday,9,98,4.865306122448979,2517483734542086.5
6,Sunday,10,85,4.605647058823529,1.349606847395045e+16
6,Sunday,11,98,4.4746938775510205,587585139874546.5
6,Sunday,12,77,4.580649350649351,2989119437774701.0
6,Sunday,13,72,4.477083333333334,843847876524224.5
6,Sunday,14,84,4.585714285714285,1577325324408267.5
6,Sunday,15,87,4.346669841285098,761089288760596.6
6,Sunday,16,70,4.700857142857143,2710301210048057.5
6,Sunday,17,77,4.524545454545454,809293730287720.5
6,Sunday,18,98,4.707755102040816,2693848377730820.5
6,Sunday,19,74,4.462702702702702,2875328260987489.5
6,Sunday,20,78,4.611923076923077,2087308945282252.8
6,Sunday,21,99,4.915353535353535,5668139589824314.0
6,Sunday,22,77,4.828051948051948,1292960969213587.2
6,Sunday,23,88,4.646818181818182,2109744551574202.2
